timeline,game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
0,1,100,2,1,26237,"1972-10-1",2005,3,1,0,9,2,3,6,10,2,0,38,10,33,10,38
1,1,100,2,1,26241,"1972-10-1",2005,3,1,0,9,1,0,6,4,2,2,10,38,0,10,38
2,1,100,2,1,26140,"1972-10-1",2005,3,1,0,9,3,2,7,7,2,2,10,38,3,10,38
3,1,100,2,1,26060,"1972-10-1",2005,3,1,0,15,2,1,10,7,0,2,23,48,4,10,38
4,1,100,2,1,26022,"1972-10-1",2005,3,1,0,9,1,2,4,8,1,0,38,10,33,10,38
5,1,100,2,1,26230,"1972-10-1",2005,3,1,0,9,2,3,4,8,1,0,33,3,0,10,38
6,1,100,2,1,26227,"1972-10-1",2005,3,1,0,12,3,4,7,6,2,0,28,12,0,10,38
7,1,100,2,1,20898,"1972-10-1",2005,3,1,0,9,3,4,8,12,2,0,38,10,0,10,38
8,1,100,2,1,20998,"1972-10-1",2005,3,1,0,9,2,1,5,3,0,1,10,38,0,10,38
9,1,100,2,1,20992,"1972-10-1",2005,3,1,0,9,3,4,7,10,2,0,38,10,0,10,38
10,1,100,2,1,20924,"1972-10-1",2005,3,1,0,9,3,2,10,7,0,2,10,38,0,10,38
11,1,100,2,1,20855,"1972-10-1",2005,3,1,0,15,4,3,11,3,1,3,23,28,0,10,38
12,1,100,2,1,21002,"1972-10-1",2005,3,1,0,9,4,5,8,5,3,1,38,10,0,10,38
13,1,100,2,1,21016,"1972-10-1",2005,3,1,0,9,4,5,10,10,1,1,38,10,0,10,38
14,1,100,2,1,20447,"1972-10-1",2005,3,1,0,9,3,4,13,11,0,0,38,10,0,10,38
15,1,100,2,1,20354,"1972-10-1",2005,3,1,0,9,3,4,10,9,1,0,38,10,0,10,38
16,1,100,2,1,20450,"1972-10-1",2005,3,1,0,10,7,6,11,11,0,3,12,28,0,10,38
17,1,100,2,1,20361,"1972-10-1",2005,3,1,0,9,6,5,13,5,2,0,10,38,3,10,38
18,1,100,2,1,20393,"1972-10-1",2005,3,1,0,9,3,4,7,10,0,2,38,10,0,10,38
19,1,100,2,1,20467,"1972-10-1",2005,3,1,0,9,4,3,10,5,0,1,10,38,0,10,38
20,1,100,2,1,20378,"1972-10-1",2005,3,1,0,9,1,2,6,6,1,0,38,10,0,10,38
21,1,100,2,1,26354,"1972-10-1",2005,3,1,0,9,2,3,3,9,0,0,33,3,0,10,38
22,1,100,2,1,26324,"1972-10-1",2005,3,1,0,9,2,1,9,3,0,1,3,33,0,10,38
23,1,100,2,1,26413,"1972-10-1",2005,3,1,0,12,4,3,8,5,2,1,12,48,23,10,38
24,1,100,2,1,26155,"1972-10-1",2005,3,1,0,13,6,5,13,12,0,2,3,48,0,10,38
25,1,100,2,1,26220,"1972-10-1",2005,3,1,0,9,1,2,10,5,1,0,38,10,33,10,38
26,1,100,2,1,26300,"1972-10-1",2005,3,1,0,9,3,4,9,9,1,1,38,10,28,10,38
27,1,100,2,1,26378,"1972-10-1",2005,3,1,0,9,4,5,5,10,0,0,38,10,0,10,38
28,1,100,2,1,26848,"1972-10-1",2005,3,1,0,9,2,1,6,3,0,1,10,38,3,10,38
29,1,100,2,1,26267,"1972-10-1",2005,3,1,0,14,1,0,10,5,0,2,4,48,0,10,38
30,1,100,2,1,26936,"1972-10-1",2005,3,1,0,9,2,3,10,0,3,1,38,10,33,10,38
31,1,100,2,1,26979,"1972-10-1",2005,3,1,0,15,4,3,16,8,0,0,4,48,22,10,38
32,1,100,2,1,27005,"1972-10-1",2005,3,1,0,9,2,3,8,8,0,1,28,23,0,10,38
33,1,100,2,1,27004,"1972-10-1",2005,3,1,0,9,1,2,6,5,1,1,33,3,28,10,38
34,1,100,2,1,27066,"1972-10-1",2005,3,1,0,11,5,4,12,11,3,0,22,48,0,10,38
