player_id,team_id,league_id,position,role,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,second_nation_id,weight,height,retired,free_agent,last_league_id,last_team_id,organization_id,last_organization_id,language_ids0,language_ids1,uniform_number,experience,person_type,bats,throws,personality_greed,personality_loyalty,personality_play_for_winner,personality_work_ethic,personality_intelligence,personality_leader,historical_id,historical_team_id,best_contract_offer_id,injury_is_injured,injury_dtd_injury,injury_career_ending,injury_dl_left,injury_dl_playoff_round,injury_left,dtd_injury_effect,injury_id,prone_overall,prone_leg,prone_back,prone_arm,fatigue_pitches0,fatigue_pitches1,fatigue_pitches2,fatigue_pitches3,fatigue_pitches4,fatigue_pitches5,fatigue_points,fatigue_played_today,running_ratings_speed,running_ratings_stealing,running_ratings_baserunning,college,draft_year,draft_round,draft_supplemental,draft_pick,draft_overall_pick,draft_eligible,hidden,draft_league_id,draft_team_id,turned_coach,hall_of_fame,rust,inducted,strategy_override_team,strategy_stealing,strategy_running,strategy_bunt_for_hit,strategy_sac_bunt,strategy_hit_run,strategy_hook_start,strategy_hook_relief,strategy_pitch_count,strategy_pitch_around,strategy_no_pinch_if_rested,strategy_never_pinch_hit,strategy_defensive_sub,strategy_dtd_sit_min,strategy_dtd_allow_ph,local_pop,national_pop,draft_protected,morale,morale_player_performance,morale_team_performance,morale_team_transactions,expectation,morale_player_role
1,1,100,2,0,"Johnny","Bench","Little General",24,"1947-12-7",57035,206,0,208,185,0,0,0,0,1,0,0,1,5,5,0,1,1,190,89,109,90,159,108,"benchjo01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,49,0,31,125,106,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,6,6,0,0,0,-40,0,2,0
2,1,100,1,11,"Jack","Billingham","",29,"1943-2-21",57649,206,0,215,193,0,0,0,0,1,0,0,-1,43,4,0,1,1,184,28,101,120,77,100,"billija01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,11,57,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-486,3,0
3,1,100,1,13,"Pedro","Borbon","",25,"1946-12-2",47899,56,0,185,188,0,0,0,0,1,0,1,0,34,3,0,1,1,110,70,29,123,105,78,"borbope01","CIN",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,9,21,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,3,0,0,0,0,-32,0,4,0
4,1,100,1,11,"Clay","Carroll","Hawk",31,"1941-5-2",13933,206,0,200,185,0,0,0,0,1,0,0,-1,36,8,0,1,1,102,91,38,167,97,150,"carrocl02","CIN",0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,8,11,24,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,-33,0,4,0
5,1,100,6,0,"Darrel","Chaney","",24,"1948-3-9",30511,206,0,190,185,0,0,0,0,1,0,0,-1,12,3,0,3,1,106,95,95,22,59,80,"chaneda01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,89,110,87,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,6,0
6,1,100,6,0,"Dave","Concepcion","",24,"1948-6-17",0,210,0,180,185,0,0,0,0,1,0,0,-1,13,2,0,1,1,124,80,100,94,82,119,"conceda01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,19,0,165,167,88,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,1,0,0,0,-40,0,6,0
7,1,100,8,0,"George","Foster","",23,"1948-12-1",81743,206,0,185,185,0,0,0,0,1,0,0,-1,15,3,0,1,1,90,96,130,96,90,149,"fostege01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,102,128,160,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,0,6,0
8,1,100,9,0,"Cesar","Geronimo","",24,"1948-3-11",23245,56,0,170,188,0,0,0,0,1,0,1,0,20,3,0,2,2,13,103,85,116,41,139,"geronce01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,105,114,138,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,0,0,0,0,-38,0,2,0
9,1,100,1,11,"Ross","Grimsley Jr","",22,"1950-1-7",80610,206,0,200,191,0,0,0,0,1,0,0,1,48,1,0,2,2,149,119,77,85,164,82,"grimsro02","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,11,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,0,0,0,0,0,0,-440,3,0
10,1,100,1,11,"Don","Gullett","",21,"1951-1-6",41112,206,0,190,183,0,0,0,0,1,0,0,-1,35,2,0,1,2,99,100,127,113,145,197,"gulledo01","CIN",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,117,0,136,0,6,21,28,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'',0,0,1,0,0,0,-20,-42,0,3,0
