timeline,player_id,game_id,opponent_player_id,team_id,sac,balls,strikes,result,base1,base2,base3,Close,pinch,inning,run_diff,outs,sb,cs,rbi,r,spot,hit_loc,hit_xy,exit_velo,launch_angle
0,1,1,38,1,0,3,0,2,1,0,0,1,0,1,0,2,0,0,0,0,4,255,255,0,0
0,1,1,38,1,0,0,0,6,0,0,0,1,0,3,-1,2,0,0,0,0,4,40,53,150,15
0,1,1,38,1,0,0,0,6,0,0,0,1,0,5,-2,2,0,0,0,0,4,77,154,143,33
0,1,1,33,1,0,3,1,2,0,0,0,1,0,8,1,0,0,0,0,0,4,255,255,0,0
0,6,1,38,1,0,0,0,7,0,0,0,1,0,2,0,2,0,0,0,1,8,35,47,151,3
0,6,1,38,1,0,0,0,4,0,0,0,1,0,4,-1,1,0,0,0,0,8,4,181,70,3
0,6,1,38,1,0,1,0,6,0,0,0,1,0,6,-2,2,0,0,0,0,8,41,25,167,7
0,8,1,33,1,0,3,2,1,0,1,0,1,1,8,1,2,0,0,0,0,7,86,255,0,0
0,10,1,38,1,0,0,1,7,0,1,0,1,0,2,0,2,0,0,1,0,9,57,106,170,11
0,10,1,38,1,0,2,1,4,0,0,0,1,0,4,-1,2,0,0,0,0,9,28,205,176,2
0,10,1,38,1,0,2,0,4,1,0,0,1,0,6,-2,2,0,0,0,0,9,13,84,149,3
0,11,1,33,1,0,0,2,1,0,0,0,1,1,9,1,0,0,0,0,0,8,86,255,0,0
0,13,1,33,1,0,2,2,1,0,0,0,1,1,9,1,1,0,0,0,0,9,86,255,0,0
0,15,1,38,1,0,0,0,4,0,0,0,1,0,2,0,1,0,0,0,0,7,29,60,147,2
0,15,1,38,1,0,0,0,4,0,0,0,1,0,4,-1,0,0,0,0,0,7,1,53,101,-1
0,15,1,38,1,0,1,0,5,0,0,0,1,0,6,-2,1,0,0,0,0,7,12,255,114,16
0,16,1,38,1,0,2,2,1,1,1,0,1,0,1,0,2,0,0,0,0,5,86,255,0,0
0,16,1,38,1,0,3,2,2,1,0,0,1,0,3,-1,2,0,0,0,0,5,255,255,0,0
0,16,1,38,1,0,0,1,5,1,0,0,1,0,5,-2,2,0,0,0,0,5,21,42,125,68
0,16,1,33,1,0,1,1,5,1,0,0,1,0,8,1,0,0,0,0,0,5,62,35,131,46
0,17,1,38,1,0,3,2,5,0,0,0,1,0,1,0,0,0,0,0,0,1,74,214,148,42
0,17,1,38,1,0,1,1,5,0,1,0,1,0,2,-1,2,0,0,0,0,1,54,31,135,42
0,17,1,38,1,0,3,2,4,0,0,0,1,0,5,-1,0,0,0,0,0,1,87,135,133,4
0,17,1,38,1,0,1,1,5,0,0,0,1,0,7,-1,0,0,0,0,0,1,52,105,150,41
0,17,1,33,1,0,0,1,4,0,0,0,1,0,9,1,2,0,0,0,0,1,19,71,137,5
0,19,1,38,1,0,1,0,5,1,0,0,1,0,1,0,1,0,0,0,0,3,69,164,154,27
0,19,1,38,1,0,0,1,4,0,0,0,1,0,3,-1,1,0,0,0,0,3,40,13,165,2
0,19,1,38,1,0,1,0,9,0,0,0,1,0,5,-1,2,0,0,1,1,3,98,116,153,31
0,19,1,38,1,0,2,0,5,0,0,0,1,0,7,-1,2,0,0,0,0,3,58,65,147,48
0,21,1,38,1,0,1,0,5,0,0,0,1,0,2,0,0,0,0,0,0,6,22,55,123,55
0,21,1,38,1,0,0,2,5,1,1,0,1,0,3,-1,2,0,0,0,0,6,0,53,120,72
0,21,1,38,1,0,1,0,5,0,0,0,1,0,6,-2,0,0,0,0,0,6,25,44,89,64
0,21,1,33,1,1,2,0,4,0,1,0,1,0,8,1,1,0,0,0,0,6,2,111,70,3
0,24,1,38,1,0,0,0,10,0,0,0,1,0,1,0,1,0,0,0,0,2,255,255,0,0
0,24,1,38,1,0,2,2,1,0,0,0,1,0,3,-1,0,0,0,0,0,2,86,255,0,0
0,24,1,38,1,0,0,0,4,0,0,0,1,0,5,-1,1,0,0,0,0,2,38,114,138,4
0,24,1,38,1,0,0,0,5,0,0,0,1,0,7,-1,1,0,0,0,0,2,27,97,118,69
0,26,1,10,2,0,0,1,6,0,0,0,1,0,1,0,1,0,0,0,0,2,41,109,150,7
0,26,1,10,2,0,2,2,5,0,0,0,1,0,3,-1,2,0,0,0,0,2,69,47,160,43
0,26,1,10,2,0,1,1,6,0,1,0,1,0,6,-2,0,0,0,0,0,2,74,234,142,21
0,26,1,10,2,0,0,2,4,1,0,0,1,0,7,1,2,0,0,0,0,2,19,178,142,4
0,27,1,10,2,0,1,1,5,1,1,0,1,0,1,0,1,0,0,0,0,4,57,129,166,46
0,27,1,10,2,0,0,0,4,1,0,0,1,0,4,-1,0,0,0,0,0,4,29,125,131,2
0,27,1,10,2,0,1,2,5,1,0,0,1,0,6,-1,1,0,0,0,0,4,77,207,129,46
0,27,1,10,2,0,0,1,6,1,0,0,1,0,8,1,0,0,0,0,0,4,24,244,153,20
0,29,1,10,2,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,0,1,3,58,70,0
0,29,1,10,2,0,0,1,4,0,0,0,1,0,3,-1,1,0,0,0,0,1,87,243,132,2
0,29,1,10,2,0,0,1,6,0,0,0,1,0,6,-2,0,0,0,0,1,1,32,82,157,17
0,29,1,10,2,0,1,0,6,0,0,0,1,0,7,1,2,0,0,0,0,1,25,189,151,9
0,31,1,10,2,0,0,1,9,0,0,0,1,1,7,0,2,0,0,1,1,9,69,242,159,27
0,34,1,10,2,0,0,2,1,0,0,0,1,0,2,-1,2,0,0,0,0,8,86,255,0,0
0,34,1,10,2,0,3,1,2,0,0,0,1,0,5,-2,2,0,0,0,0,8,86,255,0,0
0,34,1,10,2,0,1,2,1,0,0,0,1,0,7,0,1,0,0,0,0,8,86,255,0,0
0,38,1,10,2,0,2,1,6,0,0,0,1,0,3,-1,0,0,0,0,0,9,41,18,158,8
0,38,1,10,2,0,0,0,4,1,0,0,1,0,5,-2,2,0,0,0,0,9,29,158,137,5
0,44,1,10,2,0,0,0,4,0,0,0,1,0,2,-1,0,0,0,0,0,6,28,204,141,4
0,44,1,10,2,0,1,1,4,0,0,0,1,0,5,-2,0,0,0,0,0,6,1,255,70,0
0,44,1,10,2,0,3,1,5,0,0,0,1,0,7,-1,0,0,0,0,0,6,59,158,155,41
0,44,1,10,2,0,3,2,5,1,1,0,1,0,8,1,1,0,0,0,0,6,69,94,140,43
0,47,1,10,2,0,3,2,4,1,0,1,1,0,1,0,2,0,0,0,0,5,26,141,140,4
0,47,1,10,2,0,3,2,4,0,0,0,1,0,4,-1,2,0,0,0,0,5,41,50,135,4
0,47,1,10,2,0,3,1,5,1,0,0,1,0,6,-1,2,0,0,0,0,5,12,214,113,12
0,47,1,10,2,0,2,2,1,1,1,0,1,0,8,1,0,0,0,0,0,5,86,255,0,0
0,49,1,10,2,0,0,1,4,1,0,0,1,0,1,0,1,0,0,0,0,3,29,96,137,1
0,49,1,10,2,0,1,1,6,0,0,0,1,0,4,-1,0,0,0,0,0,3,39,250,174,13
0,49,1,10,2,1,1,0,5,1,0,1,1,0,6,-2,0,0,0,1,0,3,64,250,157,33
0,49,1,10,2,0,2,2,6,0,0,0,1,0,8,1,0,0,0,0,0,3,30,31,156,6
0,50,1,10,2,0,1,2,1,0,0,0,1,0,2,-1,1,0,0,0,0,7,255,255,0,0
0,50,1,10,2,0,3,2,5,0,0,0,1,0,5,-2,1,0,0,0,0,7,65,180,122,46
0,50,1,10,2,0,0,1,9,0,0,0,1,0,7,-1,1,0,0,1,1,7,99,127,162,33
0,50,1,10,2,0,0,1,5,1,1,0,1,0,8,1,2,0,0,0,0,7,55,36,139,46
1,1,1,38,1,0,0,1,6,0,1,0,1,0,1,0,2,0,0,1,0,4,41,73,164,10
1,1,1,38,1,0,2,2,5,0,0,1,1,0,3,-1,2,0,0,0,0,4,51,232,128,45
1,1,1,38,1,0,3,2,2,0,0,0,1,0,6,-1,0,0,0,0,0,4,86,255,0,0
1,1,1,38,1,0,0,0,5,0,0,0,1,0,8,-1,2,0,0,0,0,4,67,67,117,47
1,6,1,38,1,0,1,0,4,1,0,0,1,0,2,-1,1,0,0,0,0,8,26,2,146,4
1,6,1,38,1,0,3,2,1,1,0,0,1,0,4,-1,2,0,0,0,0,8,255,255,0,0
1,6,1,38,1,0,0,0,5,0,0,0,1,0,7,-1,0,0,0,0,0,8,62,44,134,45
1,10,1,38,1,0,1,2,1,0,1,0,1,0,2,-1,2,0,0,0,0,9,255,255,0,0
1,10,1,38,1,0,3,2,1,0,0,0,1,0,5,-1,0,0,0,0,0,9,86,255,0,0
1,10,1,38,1,0,0,1,4,0,0,0,1,0,7,-1,1,0,0,0,0,9,27,216,135,4
1,15,1,38,1,0,1,2,6,0,0,0,1,0,2,-1,1,0,0,0,0,7,25,24,164,6
1,15,1,38,1,0,0,1,5,1,0,0,1,0,4,-1,1,0,0,0,0,7,72,220,156,41
1,15,1,38,1,0,0,0,4,1,1,0,1,0,6,-1,1,0,0,0,0,7,2,222,111,5
1,15,1,33,1,0,0,2,1,0,0,0,1,0,9,-1,2,0,0,0,0,7,86,255,0,0
1,16,1,38,1,0,2,2,5,1,0,0,1,0,1,-1,2,0,0,0,0,5,62,10,121,44
1,16,1,38,1,0,1,2,5,0,0,0,1,0,4,-1,0,0,0,0,0,5,74,158,147,48
1,16,1,38,1,0,3,2,4,1,0,0,1,0,6,-1,0,0,0,0,0,5,35,157,168,5
1,16,1,33,1,0,0,2,1,0,0,0,1,0,9,-1,0,0,0,0,0,5,86,255,0,0
1,17,1,38,1,0,2,1,6,0,0,0,1,0,1,0,0,0,0,0,1,1,59,202,156,11
1,17,1,38,1,0,0,2,6,0,0,0,1,0,3,-1,0,1,0,0,0,1,58,121,145,19
1,17,1,38,1,0,3,2,7,0,0,0,1,0,5,-1,1,0,1,0,0,1,51,83,171,14
1,17,1,38,1,0,3,1,5,0,0,0,1,0,7,-1,2,0,0,0,0,1,65,136,142,27
1,19,1,38,1,0,0,1,4,1,0,0,1,0,1,0,1,0,0,0,0,3,19,128,167,2
1,19,1,38,1,0,3,1,5,0,0,1,1,0,3,-1,1,0,0,0,0,3,77,135,113,44
1,19,1,38,1,0,3,2,5,1,0,0,1,0,5,-1,2,0,0,0,0,3,66,11,138,46
1,19,1,38,1,0,1,2,1,0,0,0,1,0,8,-1,1,0,0,0,0,3,86,255,0,0
1,21,1,38,1,0,0,0,5,0,0,0,1,0,2,-1,0,0,0,0,0,6,61,180,149,42
1,21,1,38,1,0,0,1,4,0,0,0,1,0,4,-1,1,0,0,0,0,6,31,170,118,3
1,21,1,38,1,0,3,2,2,0,1,0,1,0,6,-1,1,0,0,0,0,6,86,255,0,0
1,21,1,33,1,0,3,2,1,0,0,0,1,0,9,-1,1,0,0,0,0,6,86,255,0,0
1,24,1,38,1,0,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,2,255,255,0,0
1,24,1,38,1,0,0,0,5,1,0,0,1,0,3,-1,0,0,0,0,0,2,56,132,137,45
1,24,1,38,1,0,1,0,6,0,0,0,1,0,5,-1,2,0,0,0,0,2,23,115,153,18
1,24,1,38,1,0,2,0,4,0,0,0,1,0,8,-1,0,0,0,0,0,2,43,237,130,5
1,26,1,10,2,0,1,2,4,0,0,0,1,0,1,-1,1,0,0,0,0,2,20,126,127,3
1,26,1,10,2,0,1,2,4,0,0,0,1,0,4,-1,1,0,0,0,0,2,24,99,171,2
1,26,1,10,2,0,1,0,5,1,1,0,1,0,6,-1,2,0,0,0,0,2,13,57,95,64
1,26,1,10,2,0,0,0,6,0,0,0,1,0,9,-1,0,0,0,0,0,2,30,72,156,16
1,27,1,10,2,0,2,2,4,0,0,0,1,0,2,-1,0,0,0,0,0,4,31,216,129,4
1,27,1,10,2,0,2,2,5,0,0,0,1,0,5,-1,0,0,0,0,0,4,72,17,141,42
1,27,1,10,2,0,1,2,6,0,0,0,1,0,7,-1,1,0,0,0,0,4,25,168,150,30
1,27,1,10,2,0,1,2,5,1,1,0,1,0,9,-1,0,0,0,0,0,4,53,135,147,43
1,29,1,10,2,0,0,0,5,0,0,0,1,0,1,-1,0,0,0,0,0,1,61,14,170,42
