timeline,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr
0,1,1972,1,1,100,1,0,2,2,2,0,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.1307,0,0.0000
0,6,1972,1,1,100,1,0,6,3,2,0,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0183,0,0.0000
0,8,1972,1,1,100,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0834,0,0.0000
0,10,1972,1,1,100,1,0,1,3,1,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0907,0,0.0000
0,11,1972,1,1,100,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0724,0,0.0000
0,13,1972,1,1,100,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0543,0,0.0000
0,15,1972,1,1,100,1,0,9,3,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0541,0,0.0000
0,16,1972,1,1,100,1,0,5,3,0,1,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.1225,0,0.0000
0,17,1972,1,1,100,1,0,4,5,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1223,0,0.0000
0,19,1972,1,1,100,1,0,3,4,1,0,4,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0672,0,0.0000
0,21,1972,1,1,100,1,0,7,3,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.1135,0,0.0000
0,24,1972,1,1,100,1,0,8,3,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0318,0,-0.0048
0,26,1972,2,1,100,1,0,9,4,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828,0,0.0000
0,27,1972,2,1,100,1,0,5,4,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.1605,0,0.0000
0,29,1972,2,1,100,1,0,6,4,2,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0304,0,0.0000
0,31,1972,2,1,100,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.2338,0,0.0000
0,33,1972,2,1,100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
0,34,1972,2,1,100,1,0,4,2,0,2,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0236,0,0.0000
0,38,1972,2,1,100,1,0,1,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131,0,0.0000
0,44,1972,2,1,100,1,0,8,4,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1307,0,0.0000
0,47,1972,2,1,100,1,0,3,4,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1225,0,0.0000
0,49,1972,2,1,100,1,0,7,3,2,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0556,0,-0.0450
0,50,1972,2,1,100,1,0,2,4,1,1,4,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.1741,0,0.0000
1,1,1972,1,1,100,1,0,2,3,1,0,4,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0897,0,0.0000
1,6,1972,1,1,100,1,0,6,3,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0649,0,0.0000
1,10,1972,1,1,100,1,0,1,3,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0752,0,0.0000
1,15,1972,1,1,100,1,0,9,4,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.1097,0,0.0000
1,16,1972,1,1,100,1,0,5,4,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0753,0,0.0000
1,17,1972,1,1,100,1,0,4,4,3,0,4,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.1343,0,0.1372
1,19,1972,1,1,100,1,0,3,4,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1213,0,0.0000
1,21,1972,1,1,100,1,0,7,3,0,1,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0082,0,0.0000
1,24,1972,1,1,100,1,0,8,4,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0776,0,0.0000
1,26,1972,2,1,100,1,0,9,4,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138,0,0.0000
1,27,1972,2,1,100,1,0,5,4,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1237,0,0.0000
1,29,1972,2,1,100,1,0,6,4,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1189,0,0.0000
1,31,1972,2,1,100,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0980,0,0.0000
1,32,1972,2,1,100,1,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2245,0,0.0000
1,33,1972,2,1,100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
1,34,1972,2,1,100,1,0,4,2,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0153,0,0.0000
1,38,1972,2,1,100,1,0,1,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0661,0,0.0000
1,44,1972,2,1,100,1,0,8,4,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.3011,0,0.0000
1,47,1972,2,1,100,1,0,3,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0641,0,0.0000
1,49,1972,2,1,100,1,0,7,3,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1108,0,0.0000
1,50,1972,2,1,100,1,0,2,3,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289,0,0.0000
2,1,1972,1,1,100,1,0,2,3,1,0,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0373,0,0.3268
2,3,1972,1,1,100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2,6,1972,1,1,100,1,0,6,4,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0704,0,0.0000
2,8,1972,1,1,100,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0,0.0000
2,10,1972,1,1,100,1,0,1,3,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1036,0,0.0000
2,15,1972,1,1,100,1,0,9,4,1,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310,0,0.0000
2,16,1972,1,1,100,1,0,5,4,1,0,4,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0861,0,-0.2931
2,17,1972,1,1,100,1,0,4,4,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.0298,0,0.0000
2,19,1972,1,1,100,1,0,3,5,1,3,5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0622,0,0.0000
2,21,1972,1,1,100,1,0,7,3,0,1,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0035,0,0.0000
2,24,1972,1,1,100,1,0,8,4,2,0,5,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0.0783,0,0.0000
2,26,1972,2,1,100,1,0,9,4,1,0,4,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.1454,0,0.0000
2,27,1972,2,1,100,1,0,5,3,0,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.0667,0,0.0000
2,29,1972,2,1,100,1,0,6,4,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101,0,0.0000
2,31,1972,2,1,100,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0447,0,0.0000
2,32,1972,2,1,100,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0702,0,0.0000
2,33,1972,2,1,100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2,34,1972,2,1,100,1,0,4,3,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571,0,0.0080
2,38,1972,2,1,100,1,0,1,2,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0506,0,0.0000
