timeline,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs
0,10,1972,1,1,100,1,21,8,32,0,10,4,34,2,1,3,3,9,9,117,0,1,1,0,1,0,8,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,-0.1126,36.9000,0,24
0,33,1972,2,1,100,1,21,2,5,0,0,3,7,0,1,0,0,2,1,28,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.2820,15.0000,0,6
0,38,1972,2,1,100,1,21,7,27,0,6,2,30,3,2,2,2,8,11,84,0,1,1,1,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0654,22.9000,0,21
1,10,1972,1,1,100,1,21,9,31,0,4,7,33,1,1,0,0,6,13,118,0,1,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0.8580,69.2000,0,27
1,33,1972,2,1,100,1,21,1,3,0,0,3,3,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0380,1.7000,0,3
1,38,1972,2,1,100,1,21,8,29,0,6,5,31,0,2,1,1,6,11,117,0,1,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0.2801,31.1000,0,24
2,3,1972,1,1,100,1,21,1,3,0,0,0,3,0,0,0,0,2,1,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.1996,8.3000,0,3
2,10,1972,1,1,100,1,21,8,30,0,7,2,32,3,1,2,1,14,6,99,0,1,1,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.3485,43.8000,0,24
2,33,1972,2,1,100,1,21,2,8,0,0,0,8,0,0,0,0,4,2,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0898,6.6000,0,6
2,38,1972,2,1,100,1,21,7,27,0,7,7,31,2,2,3,3,9,4,120,0,1,1,0,1,0,3,4,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0817,37.5000,0,21
3,3,1972,1,1,100,1,21,2,9,0,1,2,9,0,0,0,0,1,5,27,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.3835,21.3000,0,8
3,4,1972,1,1,100,1,21,1,4,0,1,0,4,0,0,0,0,2,1,13,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0.3333,24.2000,0,3
3,10,1972,1,1,100,1,21,7,25,0,3,6,29,1,4,1,1,11,5,110,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2594,36.0000,0,22
3,12,1972,1,1,100,1,21,2,6,0,0,2,8,0,2,0,0,3,1,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2754,15.8000,0,6
3,23,1972,1,1,100,1,21,2,8,0,2,1,9,0,1,0,0,2,3,32,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1417,26.0000,0,6
3,28,1972,2,1,100,1,21,2,6,0,0,2,7,0,1,0,0,3,1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2754,15.5000,0,6
3,33,1972,2,1,100,1,21,3,11,0,2,4,11,0,0,0,0,2,3,43,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3774,21.3000,0,9
3,38,1972,2,1,100,1,21,7,28,0,7,5,31,1,2,1,1,8,8,107,0,1,1,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.2255,38.6000,0,21
3,48,1972,2,1,100,1,21,3,10,0,1,2,12,0,2,1,1,4,3,36,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,-0.0250,27.1000,0,9
